"IDRSSD"	RCFN2133	RCFN2898	
	TOTAL IBF ASSETS	TOTAL IBF LIABILITIES	
499752			
499855			
500256			
500658			
501039			
501105	0	0	
501132			
501459			
501655			
501758			
501767			
501815			
502111			
502353			
502447			
502559			
502652			
502746			
502849			
503453			
503547			
503640			
504142			
504311			
504535			
504647			
504713			
505242			
505550			
505831			
505916			
506052			
506249			
506922			
507068			
507152			
507330			
507349			
507509			
508270			
508346			
508355			
508841			
509138			
509400			
509642			
509811			
509857			
509950			
510330			
510648			
510871			
510938			
510947			
511618			
511832			
512839			
513050			
513256			
513322			
513340			
513546			
513854			
513920			
513957			
514048			
514057			
514066			
514132			
514356			
514440			
514655			
514936			
515054			
515250			
515353			
516154			
516855			
517049			
517357			
517441			
517834			
517900			
518037			
518354			
518877			
519146			
519360			
519445			
519874			
520003			
520423			
520777			
521064			
521158			
521251			
521608			
521804			
521952			
522034			
522043			
522454			
522605			
522669			
522753			
522847			
522856			
522959			
523161			
523648			
523974			
524579			
524757			
524766			
524953			
525053			
525156			
525352			
525446			
525549			
525950			
526452			
526519			
526751			
526854			
527057			
527507			
527600			
527749			
527954			
528102			
528241			
528568			
528616			
528849			
528858			
528960			
529172			
529341			
529659			
529855			
529958			
530655			
530703			
530851			
530954			
531157			
531250			
532042			
532453			
532752			
533124			
533227			
533535			
533740			
533759			
533928			
533937			
534242			
534345			
534466			
534653			
534756			
534774			
534859			
534877			
535034			
535258			
535463			
535641			
535753			
535856			
535874			
535931			
535940			
536059			
536349			
536527			
536554			
536853			
537038			
537243			
537355			
537449			
537551			
537560			
538222			
538754			
538802	145	0	
538950			
539032			
539340			
539452			
539667			
539872			
539939			
540056			
540542			
540551			
540739			
540850			
540926			
541035			
541101	23437000	8874000	
541231			
541642			
541754			
541857			
542153			
542340			
542528			
542649			
542667			
542854			
543262			
543459			
543945			
544335			
544447			
544652			
544951			
545042			
545154			
545604			
545846			
546003			
546320			
546432			
546535			
546544			
546647			
547251			
547550			
547840			
548052			
548203			
548267			
548351			
548641			
548771			
548829			
548838			
548856			
549545			
549862			
550354			
550448			
550653			
550756			
550952			
551016			
551904			
552059			
552161			
552545			
552657			
552732			
552956			
552974			
553038			
553177			
553766			
553926			
553944			
554268			
554343			
554857			
554941			
555005			
555256			
556011			
556459			
556815			
556936			
557317			
557438			
557858			
558462			
559553			
560214			
560353			
560438			
560830			
561145			
561239			
561574			
561659			
561864			
562058			
562553			
563233			
563336			
563457			
563756			
563774			
563934			
564052			
564155			
564324			
564463			
564557			
564678			
564838			
564856			
565143			
565152			
565536			
565750			
565844			
566056			
566243			
566458			
566551			
566953			
567240			
567736			
567754			
567905			
568126			
568135			
568144			
568238			
568359			
568443			
568470			
568751			
568854			
568939			
569253			
569422			
570558			
570651			
570745			
571135			
571265			
571443			
571920			
571957			
572338			
572347			
572374			
572459			
572655			
573036			
573335			
573559			
574051			
574556			
574949			
574976			
575133			
575254			
575348			
575375			
575647			
575656			
575759			
575834			
575955			
576037			
576130			
576354			
576541			
576608			
576644			
576653			
576952			
577128			
577137	0	0	
577230			
577472			
578116			
578237			
578255			
578554			
578741			
578862			
579140			
579319			
579364			
579636			
580155			
580548			
580726			
580847			
580874			
581237			
581358			
582177			
582654			
582766			
582953			
583138			
583268			
583352			
583745			
583754			
583905			
584377			
584724			
584920			
585235			
585749			
586027			
586241			
586335			
586858			
586960			
587350			
587677			
587743			
587752			
587800			
588058			
588245			
588348			
588441			
589158			
589439			
589523			
589943			
590145			
590220			
590248			
590640			
590855			
590949			
591209			
591320			
591357			
591366			
591740			
591825			
591852			
591937			
592439			
592448			
592550			
592644			
592859			
593007			
593052			
593249			
593333			
593351			
593753			
593771			
593865			
593940			
593977			
594433			
594451			
594853			
594938			
594947			
595337			
595430			
595449			
595869	0	0	
595944			
595953			
596062			
596156			
596455			
596642			
596848			
596978			
597041			
597256			
597313			
597452			
597546			
597555			
597658			
597751			
598002			
598048			
598132			
598534			
598543			
598646			
598954			
599643			
599755			
599764			
600129			
600419			
600651			
601032			
601041			
601050			
601153			
601416			
601443			
601658			
601733			
602048			
602150			
602356			
602543			
602842			
603232			
603540			
603559			
603755			
604024			
604033			
604547			
604556			
604640			
605610			
605656			
606046			
606073			
606653			
607146			
607333			
608358			
608367			
608451			
608844			
609010			
609373			
609467			
609609			
609645			
609832			
610128			
610164			
610539			
610557			
610913			
611031			
611246			
611451			
612159			
612364			
612551			
613008			
613156			
613334			
613343			
613400			
613464			
613558			
613754			
613839			
613950			
614256			
614313			
614340			
614368			
614751			
614948			
615217			
615253			
615459			
615851			
615954			
616036			
616148			
616410			
616540			
616849			
617024			
617051			
617145			
617275			
617341			
617538			
617743			
618544			
618647			
618740			
618807			
619327			
619457			
619701			
619859			
620015			
620752			
620930			
621151			
621245			
621357			
621375			
621441			
622037			
622653			
622756			
622774			
623052			
623445			
623454			
623548			
624152			
624246			
624563			
624648			
624956			
625056			
625065			
625140			
625159			
625449			
625654			
625757			
625850			
625953			
626101			
626941			
627108			
627377			
627407			
627425			
627658			
627854			
628039			
628123			
628178			
628356			
628552			
629148			
629353			
629522			
629746			
629849			
630041			
630340			
630555			
630658			
631039			
631150			
631178			
631422			
632139			
632410			
632607			
632858			
633154			
633341			
633501			
633640			
634357			
634544			
634656			
634731			
634946			
634955			
635457			
635840			
635907			
636753			
636771			
637451			
637554			
637750			
638131			
638346			
638355			
638850			
639343			
639549			
639567			
639633			
639651			
639857			
640143			
640152			
640246			
640442			
640554			
640956			
641047			
641252			
641355			
641364			
641449			
641579			
641775			
642259			
642437			
642549			
642857			
642866			
643274			
643340			
643368			
643452			
643546			
643658			
644057			
644132			
644141			
644440			
644459			
644646			
644776			
644842			
644963			
645054			
645157			
645317			
645465			
645540			
645625			
645661			
646042			
646145			
646444			
646453			
646471			
646556			
646743			
646837			
646958			
647218			
647245			
647414			
647432			
647759			
647955			
648055			
648130			
648242			
648251			
648345			
648550			
648952			
649342			
649351			
649632			
649650			
649874			
650955			
651103			
651121			
651149			
651158			
651354			
651448			
651457			
651541			
651756			
651859			
651952			
652043			
652351			
652445			
652753			
652874			
652959			
653134			
653349			
653433			
653611			
653648			
653947			
654047			
654252			
654300			
654542			
655156			
655530			
655651			
655660			
655839			
656032			
656153			
656247			
656359			
656470			
656649			
656658			
656733			
656742			
657178			
657365			
657459			
657758			
657954			
658540			
658924			
659042			
659257			
659341			
659453			
659538			
659556			
659640			
659734			
659855			
660066			
660253			
660271			
660570			
660655			
660927			
661157			
661223			
661308			
661858			
662350			
662369			
662640			
662659			
662949			
663058			
663245			
663450			
663638			
663647			
663656			
663722			
663768			
663834			
663955			
664206			
664457			
664653			
664756			
664831			
665146			
665258			
665865			
665931			
666059			
666358			
666554			
666657			
666844			
667029			
667252			
667346			
667524			
667551			
667757			
667832			
667850			
667869			
668053			
668147			
668352			
669443			
669555			
670159			
670421			
670430			
670467			
670560			
670654			
670748			
671053			
671147			
671334			
671464			
671558			
671576			
671857			
672041			
672238			
672247			
672537			
673132			
673244			
673431			
673440			
673851			
673909			
673963			
674344			
