"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
137205	20529	648	247	0	20891	1257	0				0	
137447	1958	235	5	0	1764	46	0					
137456	1374	0	20	0	1358	4	0					
137559	1806	110	23	0	1885	212	0					
137643	994	90	53	0	876	25	0					
137652	371	-236	201	0	406	0	0			0	0	
137915	67081	-10366	1183	0	77772	1508	0				0	
138051	1519	40	43	0	1436	0	0					
138257	480	0	16	0	469	5	0					
138556	348	67	3	0	289	11	0					
138725	181	5	0	0	177	1	0					
139133	1968	535	68	0	1646	281	0				0	
139478	3921	865	4	0	3966	914	0					
139553	9773	20	189	0	9178	187	573			0	0	
139656	11010	3211	1041	0	8498	1740	0			0	659	
139740	16673	-250	702	0	16430	209	0				0	
139834	447	0	96	0	356	5	0					
139843	15899	3300	286	0	14937	2624	0				0	
139955	676	80	49	0	721	174	0					
140018	9960	-387	196	0	10682	531	0				0	
140157	2105	228	9	0	1878	10	0					
140362	22948	0	2408	0	20768	29	-199			0	1593	
140634	356	11	2	0	386	43	0					
141211	3858	-85	215	0	3854	126	0					
141341	2013	330	83	0	1941	341	0					
141350	485	30	57	0	448	50	0					
141556	60653	12000	5869	0	56546	13762	0				618	
