"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
948250																																	0	328	2000	0	10400	true	0	0	0	199	0	129	4715	2	0	0	true	0	0	0	2000	5375	2800	225	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false																						www.peoplesbk.com	
948278																																	0	0	0	0	0	true	0	0	0	0	0	0	701	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false																						http://www.wrenthamcoop.com	
948531																																	0	405	4100	0	4100	true	0	205	0	200	0	0	382	0	0	0	false	0	0	0	4100	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			false	false	false	false																						https://www.bankofnewington.com	
948643																																	0	0	0	0	33	true	0	0	0	0	0	0	1958	1	0	0	true	0	33	0	0	0	0	0	0	33	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.ossianstatebank.com	
949154																																	2168	425	0	0	0	true	2168	247	0	41	0	137	10781	6	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	104	675	0																	http://www.texasbankandtrust.com	
949305																																	0	0	3000	0	9500	true	0	0	0	0	0	0	191	0	0	0	false	0	0	0	3000	6500	0	0	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false																						www.millburysavings.com	
949453																																	0	0	0	0	0	true	0	0	0	0	0	0	96	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			false	false	false	false																						www.fsbhendricks.com	
949556																																	0	113	0	0	0	true	0	33	0	80	0	0	3253	3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false							THE BANK OF JACKSBORO, A DIVISION OF COMANCHE NATIONAL BANK		FIRST NATIONAL BANK OF SANTO, A DIVISION OF COMANCHE NATIONAL BANK		THE BANK OF MINERAL WELLS, A DIVISION OF COMANCHE NATIONAL BANK											http://www.comanchenational.com	
950141																																	0	70	26000	0	32000	true	0	0	0	70	0	0	0	0	0	0	false	0	0	0	26000	0	6000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.midmobank.com	
950178																																	9950	390	96400	9303	109400	true	647	0	0	390	0	0	1118	0	9303	0	false	0	0	0	96400	13000	0	0	7000	0	0	0	0	0	0	false	false																			0	0	1	true	false	false	false	false																						www.ffbkc.com	
