"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH311	RCFAH313	RCFAH314	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH311	RCOAH313	RCOAH314	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
804815																																																															11679	268	268	18.0892%	49.5566%	48.4194%	11411	23567	63082	0	0	41.5566%			6000	48.4194%	1	0	11411	0	0	0	0	0	0	0	0		0	0	11411	0	0	0	0	0	0	11411	0	0	0	0	0	0	0	0	0	268	0	0	0	0	63082	5411										
804860																																																															8787	547	547	9.7637%	20.0713%	18.8218%	8240	43779	84394	391	0	12.0713%			5017	18.8218%	1	0	8631	0	0	0	391	0	0	0	0		0	0	8240	0	0	0	0	0	0	8240	0	0	0	0	0	0	0	0	0	547	0	0	0	0	84394	3223										
804963	8772601	627309	627468	11.3122%	13.7426%	12.7596%	8145133	63835089	72003135	147993	38779	5.7426%			9734086	12.7342%	0	12475168	4190141	5139	2700	85769	0	117647	-55423	0		0	0	8128916	0	0	0	0	0	0	8128916	0	0	18203	18203	1986	16217	0	0	0	627468	0	4199780	159	279	76241694	2593089																										1																																															
805045																																																															11518	896	896	9.5808%	13.4361%	12.3909%	10622	85724	110868	26	0	5.4361%			5100	12.3909%	1	0	10648	0	0	0	26	0	0	0	0		0	0	10622	0	0	0	0	0	0	10622	0	0	0	0	0	0	0	0	0	896	0	0	0	0	110868	5522										
805250																																																															26122	1454	1477	13.9710%	22.5735%	21.2971%	24645	115720	176401	1943	0	14.5735%			11423	21.2971%	1	0	26588	0	0	0	1943	0	0	0	0		0	0	24645	0	0	0	0	0	0	24645	0	0	0	0	0	0	0	0	0	1477	0	0	23	0	176401	13222										
805335																																																															8195	676	676	7.4315%	15.3574%	14.0906%	7519	53362	101177	-107	0	7.3574%			7135	14.0906%	1	0	7735	0	0	0	216	0	0	0	0		0	0	7519	0	0	0	0	0	0	7519	0	0	0	0	0	0	0	0	0	676	0	0	0	0	101177	707										
805447																																																															12505	408	408	17.2067%	31.5083%	30.4802%	12097	39688	70304	343	0	23.5083%			1500	30.4802%	1	0	12563	0	0	0	466	0	0	0	0		0	0	12097	0	0	0	0	0	0	12097	0	0	0	0	0	0	0	0	0	408	0	0	0	0	70304	10720										
805670																																																															9456	992	992	9.7038%	12.0694%	10.8032%	8464	78347	87224	-2	0	4.0694%			2930	10.8032%	1	0	8462	0	0	0	-2	0	0	0	0		0	0	8464	0	0	0	0	0	0	8464	0	0	0	0	0	0	0	0	0	992	0	0	0	0	87224	5534										
805755																																																															52646	3871	3871	9.9354%	17.0002%	15.7502%	48775	309678	490921	138	0	9.0002%			8600	15.7502%	1	0	51778	2298	567	0	138	0	0	0	0		0	0	48775	0	0	0	0	0	0	48775	0	0	0	0	0	0	0	0	0	3871	0	2865	0	0	493786	43040										
805876																																																															27303	657	657	14.7332%	26.0986%	25.4705%	26646	104615	180857	428	0	18.0986%			0	25.4705%	1	0	27355	0	140	85	428	0	0	0	0		0	0	26702	0	0	0	0	56	56	26646	0	0	0	0	56	0	0	0	0	657	0	281	0	0	181138	26927										
806154																																																															31793	2217	2217	9.8398%	16.5370%	15.3838%	29576	192254	300575	1581	0	8.5370%			11727	15.3838%	1	0	31415	0	0	0	1581	258	0	0	0		0	0	29576	0	0	0	0	0	0	29576	0	0	0	0	0	0	0	0	0	2217	0	0	0	0	300575	18107										
806220																																																															14361	952	952	9.4887%	13.8521%	12.9338%	13409	103674	141315	158	0	5.8521%	0	0	19386	12.9338%	1	0	17388	669	227	1755	158	0	0	0	0		0	0	14579	0	0	0	0	1170	1170	13409	0	0	0	0	1170	0	0	0	0	952	0	3846	0	0	145161	-2156										
806378																																																															277153	17962	17962	10.1363%	13.9788%	13.0729%	259191	1982660	2557059	-6271	0	5.9788%			300868	13.0729%	1	0	259956	0	0	2327	3915	0	-198	-9988	0		3158	0	260742	0	0	0	0	1551	1551	259191	0	0	0	0	1551	0	0	0	0	17962	0	7036	0	0	2564095	-34641										
806846																																																															92349	5486	5486	8.7413%	13.6206%	12.8115%	86863	678008	993704	1676	0	5.6206%			30279	12.8115%	1	0	92486	2512	1435	0	1676	0	0	0	0		0	0	86863	0	0	0	0	0	0	86863	0	0	0	0	0	0	0	0	0	5486	0	3947	0	0	997651	60531										
