"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
7157																																																											5224	249	249	10.93%	20.93%	19.93%	4975	24965	45503	-1	0	400	19.93%	1	0	4974	0	0	0	-1	0	0	0	0		0	0	4975	0	0	0	0	0	0	4975	0	0	0	0	0	0	0	0	0	249	0	0	0	0	45503	4575									
7456																																																											6948	666	666	7.98%	12.81%	11.59%	6282	54223	78695	186	0	5000	11.59%	1	0	6468	0	0	0	186	0	0	0	0		0	0	6282	0	0	0	0	0	0	6282	0	0	0	0	0	0	0	0	0	666	0	0	0	0	78695	1282									
7634																																																											8364	532	532	12.36%	19.95%	18.68%	7832	41928	63346	-20	0	8260	18.68%	1	0	7832	0	0	0	0	0	0	0	0		0	0	7832	0	0	0	0	0	0	7832	0	0	0	0	0	0	0	0	0	532	0	0	0	0	63346	-408									
8033																																																											27312	1156	1156	11.89%	19.05%	18.24%	26156	143405	220030	10	0	5250	18.24%	1	0	26166	0	0	0	10	0	0	0	0		0	0	26156	0	0	0	0	0	0	26156	0	0	0	0	0	0	0	0	0	1156	0	0	0	0	220030	20906									
8462																																																											19929	685	685	10.96%	27.42%	26.47%	19244	72688	175514	652	0	700	26.47%	1	0	19896	0	0	0	652	0	0	0	0		0	0	19244	0	0	0	0	0	0	19244	0	0	0	0	0	0	0	0	0	685	0	0	0	0	175514	18544									
8631																																																											7248	425	425	10.11%	21.31%	20.06%	6823	34008	67511	-29	0	1300	20.06%	1	0	6794	0	0	0	-29	0	0	0	0		0	0	6823	0	0	0	0	0	0	6823	0	0	0	0	0	0	0	0	0	425	0	0	0	0	67511	5523									
9357																																																											55308	3222	3222	11.37%	16.71%	15.73%	52086	331040	458267	-128	0	55160	15.73%	1	0	78705	26747	0	0	-128	0	0	0	0		0	0	52086	0	0	0	0	0	0	52086	0	0	0	0	0	0	0	0	0	3222	0	26747	0	0	485014	23673									
9553																																																											14024	1001	1001	7.54%	11.33%	10.52%	13023	123827	172735	-859	0	2100	10.52%	1	0	12352	0	0	0	-299	188	0	0	-560		0	0	13023	0	0	0	0	0	0	13023	0	0	0	0	0	0	0	0	0	1001	0	0	0	0	172735	11111									
9807																																																											337804	30043	30043	14.09%	13.62%	12.41%	307761	2480665	2184890	-52450	0	132272	12.41%	1	0	293658	0	0	0	1432	0	0	0	-53882		0	0	346108	0	0	0	0	38347	38347	307761	0	0	0	0	38347	0	0	0	0	30043	0	38347	0	0	2223237	213836									
9955																																																											18067	1087	1087	12.76%	20.87%	19.61%	16980	86588	133022	126	0	3133	19.61%	1	0	17106	0	0	0	126	0	0	0	0		0	0	16980	0	0	0	0	0	0	16980	0	0	0	0	0	0	0	0	0	1087	0	0	0	0	133022	13847									
10250																																																											35742	3229	3229	8.93%	13.96%	12.70%	32513	256016	364061	234	0	32300	12.70%	1	0	35511	0	0	1106	234	0	0	0	0		0	0	34171	0	0	0	0	1658	1658	32513	0	0	0	0	1658	0	0	0	0	3229	0	2764	0	0	366825	2977									
10849																																																											26304	1495	1495	9.69%	18.99%	17.91%	24809	138546	256019	-664	0	15391	17.91%	1	0	26065	694	0	491	-664	0	0	0	0		0	0	25544	0	0	0	0	735	735	24809	0	0	0	0	735	0	0	0	0	1495	0	1185	0	0	257204	11338									
