"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
307361												
307679						25438	10380	0	4842	3927	6289	
307932												
308256												
308340												
308836												
309150												
309655												
309851												
310071												
310754												
310950												
310978						70147	8427	0	2104	34323	25293	
311050						55667	8339	0	6046	7251	34031	
311144												
311256												
311265												
311603												
311658												
311845						684832	910	0	243822	97769	342331	
311939												
312244												
312356												
312730						28627	4260	0	3694	4009	16664	
313009												
313157												
313223												
313401												
313577												
314257												
314444												
315656												
316354												
316840						348265	51032	0	23993	4804	268436	
316859												
316934												
317258												
317342						197375	0	0	13115	40521	143739	
317379												
317650												
318639												
318835												
318947												
318974						58600	7751	0	3151	4131	43567	
319047												
319458												
319551												
320034												
320052						19568	4032	0	5078	1141	9317	
320070												
320119						357887	0	110003	2600	9363	235921	
321152												
321255												
321273												
321330												
321947						17780	5	0	3482	8814	5479	
322056												
322449												
322476												
322551												
322757												
322850												
323204						36259	11524	0	6400	1270	17065	
323651												
324153												
324229												
324256												
324274												
324340						19689	10599	0	4133	1290	3667	
324854												
324863						198238	30452	0	6026	1671	160089	
324975												
325141												
325459												
325534												
326054												
326344												
326858						96753	26318	0	7723	5245	57467	
326979												
327220												
327305						16884	9513	491	4803	219	1858	
327435												
327556												
327855												
328058												
328357												
328656												
328777						56773	203	0	4155	20210	32205	
329149												
329345						23241	0	0	2608	20633	0	
329550												
329952						30738	9960	0	5060	5430	10288	
330239												
330248												
330855						54230	17209	0	6206	9700	21115	
330873												
330949												
331076												
331375												
331544												
331553												
331713												
332055												
332224												
332345												
332402												
332671												
332756												
333034												
333203						46788	10452	0	3567	10941	21828	
333650												
333856												
333940												
334264						26010	1424	0	4052	11197	9337	
334648												
334657												
335346												
335355												
336147												
336361												
336576												
336950												
337247												
337340												
338178												
338646												
338851												
338945												
339054												
339072						14493	5675	0	1146	1501	6171	
339353												
339456						23474	0	0	5606	4305	13563	
339607												
339773						20145	9267	0	2328	1297	7253	
339858						1256897	437924	2871	365261	135539	315302	
339876												
340135						28897	10054	0	11366	7452	25	
340144												
340256												
340443												
340742						13037	4392	0	6142	569	1934	
340751												
341310												
342054												
342362						39635	0	0	1853	1891	35891	
342410						71820	17888	0	8157	4729	41046	
342634						349561	74930	0	118086	10356	146189	
343051												
343248												
343257												
343770												
343903												
343958												
344647						34037	29	0	3297	10166	20545	
344816						9309	0	0	3935	4032	1342	
344852												
345309						28212	8733	0	3717	15714	48	
345345												
345747						13811	0	0	1712	9872	2227	
345756						5096	0	0	1591	3503	2	
345877												
346379												
346566												
346771												
347022												
347639												
347956						66228	2616	0	1630	8815	53167	
348159												
348207						147501	11424	0	1675	8713	125689	
348720												
349129												
349343												
350572												
350657												
350750												
351131												
351560												
351878												
352370												
352651												
352745												
352772						251961	106942	0	111164	12045	21810	
352820												
353238												
353546												
353555						618283	64475	0	29840	33686	490282	
353724												
353957												
354057												
354253												
354310						109275	47898	0	12652	11067	37658	
354552												
354851												
355120												
355559												
355858						69231	1535	0	3357	20437	43902	
356239												
356659												
356752												
357151												
357526												
357553												
357777												
357937												
358112												
358448												
358756												
359472												
359650												
359744												
359838												
360777												
361055												
361167						111259	40977	0	44362	2341	23579	
361279												
361354												
361439						14723	0	0	2122	3922	8679	
361653												
362043												
362155												
362717						18491	11771	0	5439	1279	2	
362856												
362940												
363442												
363648												
363657						8692	3141	0	4107	638	806	
363778												
364131												
364270	17289	2242	0	1929	13118	16686	0	0	1639	1929	13118	
364430												
364449						62388	0	0	9084	18577	34727	
364850												
365325						1018444	76358	0	73008	89679	779399	
365576												
365745												
365848												
365950												
366078												
366238						95336	7417	0	10688	4370	72861	
366247												
366359												
366658												
366854												
367150												
367178												
367431												
367543												
368054												
368344												
368522												
368933												
368951												
369453												
369659												
370020												
370271						1815337	30715	0	0	27265	1757357	
370347												
370721												
370833												
370954												
371223												
371232						27204	0	0	871	13857	12476	
371362												
371559												
371755												
371849												
371924						53614	8791	0	8538	23141	13144	
371942												
372444												
372538												
372640												
372855												
373115						25434	6866	0	6131	1785	10652	
373272												
373553												
373601						264824	80	0	1876	242859	20009	
374130												
374354												
374653						254551	19756	0	200598	31836	2361	
374774												
375034						118169	10574	0	20183	53266	34146	
375043						27532	12271	0	10424	4332	505	
375379												
375502						28059	7723	0	2695	2225	15416	
375566												
375650												
376237												
376273						190653	114	0	9909	28334	152296	
