"IDRSSD"	RCON9224	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	ID_LEI	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
290922		20190331	THE NATIONAL BANK OF ADAMS COUNTY	6728	WEST UNION	OH	45693	
291059		20190331	Bank of Hydro	10674	Hydro	OK	73048	
291273	549300ARSR92O18GPU60	20190331	Geauga Savings Bank	32287	Newbury	OH	44065	
291330		20190331	First Bank	1744	Wadley	AL	36276	
291376		20190331	Jackson Federal Savings & Loan Association	30492	Jackson	MN	56143	
291611		20190331	Hamlin Bank and Trust Company	11113	Smethport	PA	16749	
291732		20190331	Farmers & Merchants Bank	1745	Waterloo	AL	35677	
292234		20190331	FIRST FINANCIAL BANK	19440	BESSEMER	AL	35020	
292467		20190331	POINTWEST Bank	13600	West	TX	76691	
292850		20190331	FIRST NATIONAL BANK OF WAKEFIELD	5076	WAKEFIELD	MI	49968	
292908		20190331	Evans Bank, NA	6947	Hamburg	NY	14075	
293053		20190331	COMMUNITY NATIONAL BANK	24897	MIDLAND	TX	79701	
293352		20190331	Adrian State Bank	8822	Adrian	MN	56110	
293437		20190331	The Citizens Bank of Winfield	52	Winfield	AL	355940550	
293651		20190331	CAMPBELL COUNTY BANK, INC.	16161	HERREID	SD	57632	
293754		20190331	State Bank Of Southwest Missouri	26358	Springfield	MO	65804	
294023		20190331	First State Bank	9437	Winchester	OH	45697	
294564	549300JS5JD63G4G8809	20190331	First Bank and Trust	14778	Lubbock	TX	79424	
294676	549300501D0D3H14QX87	20190331	New Buffalo Savings Bank, FSB	31257	New Buffalo	MI	49117	
294751	549300RYQVJMZ3X21K04	20190331	The City National Bank And Trust Company Of Lawton, Oklahoma	4132	Lawton	OK	73501	
294779		20190331	TIMBERLAND BANK	28453	HOQUIAM	WA	98550	
294827		20190331	Pioneer Community Bank, Inc.	2448	Iaeger	WV	24844	
295011		20190331	Greenville National Bank	13703	Greenville	OH	45331	
295057		20190331	SECURITY BANK MINNESOTA	10984	ALBERT LEA	MN	56007	
295646		20190331	Farmers State Bank Of Medora	13902	Medora	IL	62063	
296456		20190331	Firstbank	14331	Antlers	OK	74523	
296474		20190331	HOME SAVINGS AND LOAN COMPANY OF KENTON, THE	29571	KENTON	OH	43326	
296559		20190331	Commercial Bank	11777	Parsons	KS	67357	
296755		20190331	Citizens State Bank	15519	Miles	TX	76861	
296858		20190331	First National Bank of Lindsay	4134	Lindsay	OK	730520278	
297051		20190331	PATRIOTS BANK	18019	GARNETT	KS	66032	
297257		20190331	Texas Bank Financial	26967	Weatherford	TX	76086	
297547		20190331	ROWLEY SAVINGS BANK	9102	ROWLEY	IA	52329	
297631	549300I2VXVEZZG4TK86	20190331	Crews Bank & Trust	21163	Arcadia	FL	34265	
297761		20190331	Monterey County Bank	22460	Monterey	CA	93940	
298049		20190331	IOWA STATE BANK	10497	SAC CITY	IA	50583	
298218		20190331	Watertown Savings Bank	15990	Watertown	NY	13601	
298245		20190331	CITY NATIONAL BANK	3814	METROPOLIS	IL	62960	
299046	549300OUV501REVTQ527	20190331	Central Bank of Boone County	4536	Columbia	MO	65205	
299251		20190331	First State Bank of Ashby	08196	Ashby	MN	56309	
299868		20190331	Community Commerce Bank	26363	Claremont	CA	91711	
300009		20190331	Passumpsic Savings Bank	14134	Saint Johnsbury	VT	05819	
300036		20190331	HomeStar Bank and Financial Services	16375	Manteno	IL	60950	
300063		20190331	NEW OMNI BANK, N.A.	23086	ALHAMBRA	CA	91801	
300157		20190331	Valley Exchange Bank	9947	Lennox	SD	57039	
300353		20190331	Shamrock Bank, National Association	4236	Coalgate	OK	74538	
300456		20190331	Piqua State Bank	18089	Piqua	KS	66761	
300933		20190331	PLANTERS FIRST BANK	9064	CORDELE	GA	31015	
300942		20190331	Pioneer Bank	19540	Sergeant Bluff	IA	51054	
300960		20190331	Bank Of Idaho	26403	Idaho Falls	ID	83403	
301574		20190331	Lake Shore Savings Bank	30530	Dunkirk	NY	14048	
301800		20190331	Ulster Savings Bank	15970	Kingston	NY	12401	
302030		20190331	Bank of Belle Glade	18930	Belle Glade	FL	33430	
302133		20190331	Camp Grove State Bank	10471	Camp Grove	IL	61424	
302553		20190331	Plains State Bank	18118	Plains	KS	67869	
302656	549300WYC8C6REMY4E38	20190331	MINNWEST BANK	16958	REDWOOD FALLS	MN	56283	
303653		20190331	FIRST STATE BANK OF BURNET	11557	BURNET	TX	78611	
303701		20190331	Wells River Savings Bank	14136	Wells River	VT	05081	
303747	5493005MOGCDHVVGS531	20190331	The First Bank and Trust Company of Murphysboro	3818	Murphysboro	IL	62966	
303952		20190331	Farmers Bank Of Northern Missouri	4539	Unionville	MO	63565	
304155		20190331	BURTON STATE BANK	13669	BURTON	TX	77835	
304173		20190331	Marquette Savings Bank	30544	Erie	PA	16501	
304520		20190331	Chesapeake Bank & Trust Company	26847	Chestertown	MD	21620	
304575		20190331	Sidney Federal Savings And Loan Association	29379	Sidney	NE	69162	
304762		20190331	Security State Bank, The	18677	Winters	TX	79567	
304913	529900KRQNFT92BXR447	20190331	Deutsche Bank Trust Company Delaware	26392	Wilmington	DE	19805	
305059		20190331	First State Bank, The	11175	Abernathy	TX	79311	
305077		20190331	Peru Federal Savings Bank	29384	Peru	IL	61354	
305237		20190331	THE GEO. D. WARTHEN BANK	2154	SANDERSVILLE	GA	31082	
305433		20190331	ESCAMBIA COUNTY BANK	1746	FLOMATON	AL	36441	
305442	549300Q16CNQMW0O1O02	20190331	THE NEW WASHINGTON STATE BANK	13305	NEW WASHINGTON	IN	471620010	
305648		20190331	Century Bank	14051	Shenandoah	IA	51601	
305750		20190331	FORT HOOD NATIONAL BANK	19640	KILLEEN	TX	76540	
306056		20190331	First National Bank Of Fleming, The	3018	Fleming	CO	80728	
306140	254900EFHB71KQ6R4L75	20190331	Security State Bank	15738	Waverly	IA	50677	
306159	549300IJ5M3CD2DPIX47	20190331	American National Bank of Minnesota	26499	Brainerd	MN	56401	
306337		20190331	Casey State Bank	3614	Casey	IL	62420	
306908	549300Q1QXZDN5R0UD44	20190331	Jeff Bank	7123	Jeffersonville	NY	12748	
307062		20190331	Farmers Bank	2850	Buhl	ID	83316	
307334		20190331	Southern Bank	16288	Sardis	GA	30830	
307361	2549006VBLRP288VX853	20190331	AMERICAN BANK, NATIONAL ASSOCIATION	23886	WACO	TX	76702	
307679		20190331	Bank Of The Pacific	23041	Aberdeen	WA	98520	
307932		20190331	Catlin Bank	3615	Catlin	IL	61817	
308256		20190331	CenBank	8848	Buffalo Lake	MN	55314	
308340		20190331	The Bath State Bank	8035	Bath	IN	47010	
308836		20190331	Bank of Bourbonnais	21635	Bourbonnais	IL	609142513	
309150	549300FS4TWJ50ESLB05	20190331	The Missouri Bank	14036	Warrenton	MO	63383	
309655		20190331	Regent Bank	4160	Tulsa	OK	74136	
309851		20190331	Root River State Bank	1098	Chatfield	MN	55923	
310071	549300335QFYU4536D37	20190331	Madison Bank Of Maryland	32331	Forest Hill	MD	21050	
310754	549300RFLICNI75BG057	20190331	American Equity Bank	16635	Minnetonka	MN	55343	
310950		20190331	First National Bank In Okeene	4161	Okeene	OK	73763	
310978		20190331	WaterStone Bank	28513	Wauwatosa	WI	53226	
311050		20190331	American Heritage Bank	4190	SAPULPA	OK	74067	
311144		20190331	Bank of Bearden	16282	Bearden	AR	71720	
311256		20190331	Granite Community Bank	5116	Cold Spring	MN	56320	
311265		20190331	YOAKUM NATIONAL BANK	5595	YOAKUM	TX	77995	
311603	254900QY5ST0J7P6M123	20190331	Dime Bank	18200	Norwich	CT	6360	
311658		20190331	The First National Bank of Coleraine	5117	Coleraine	MN	55722	
311845	XOINQMNIM6RBU631DD85	20190331	ARVEST BANK	8728	FAYETTEVILLE	AR	72701	
311939	549300KNRT5UGNCSXM31	20190331	Washington State Bank	9326	Washington	LA	70589	
312244		20190331	First Bank Of Berne	9288	Berne	IN	46711	
312356		20190331	The Cornerstone Bank	9388	South West City	MO	64863	
312730		20190331	Bridgeview Bank Group	21122	Chicago	IL	60640	
313009		20190331	The Upstate National Bank	13748	Rochester	NY	14614	
313157		20190331	Seiling State Bank, The	4193	Seiling	OK	73663	
313223		20190331	OSGOOD STATE BANK	9137	OSGOOD,	OH	453510069	
313401	549300L79UZB0KDTXC31	20190331	The National Union Bank Of Kinderhook	7128	Kinderhook	NY	12106	
313577		20190331	Forward Bank	28530	Marshfield	WI	54449	
314257	549300ZBB5XXXOWVNS92	20190331	Deerwood Bank	5123	Deerwood	MN	56444	
314444		20190331	Fordyce Bank & Trust Co.	1028	Fordyce	AR	71742	
315656	549300GQHFVUMVZA1777	20190331	First Enterprise Bank	4049	Oklahoma City	OK	73114	
316354	254900LORWWYS3CL7721	20190331	Republic Bank, Inc.	22618	Duluth	MN	55811	
316840	X6T32LKEPUT8LQMW6755	20190331	Republic Bank & Trust Company	23627	Louisville	KY	402022700	
316859		20190331	Exchange Bank, The	10672	Skiatook	OK	74070	
316934		20190331	Buckley State Bank	12121	Buckley	IL	60918	
317258		20190331	West Plains Bank And Trust Company	15489	West Plains	MO	65775	
317342	4LJGQ9KJ9S0CP4B1FY29	20190331	Stock Yards Bank & Trust Co.	258	Louisville	KY	40206	
317379	254900IL7DOACZ6YVF12	20190331	Home Federal Savings And Loan Association Of Grand Island	29476	Grand Island	NE	68801	
317650		20190331	CITIZENS STATE BANK	16934	GANADO	TX	77962	
318639		20190331	Bank of Chestnut	10885	Chestnut	IL	62548	
318835		20190331	Pilot Bank	27045	Tampa	FL	33626	
318947		20190331	Heritage First Bank	20761	Rome	GA	30161	
318974	549300DPWFIO1S3DF358	20190331	First Federal Savings and Loan Association	29488	Lakewood	OH	44107	
319047	2549005LG69OCBT9WE71	20190331	Riddell National Bank, The	4318	Brazil	IN	47834	
319458		20190331	The First National Bank	4199	Stigler	OK	74462	
319551		20190331	Security State Bank	18374	Scott City	KS	67871	
320034		20190331	PEOPLES BANK OF GREENSBORO	1730	GREENSBORO	AL	36744	
320052	549300E76OWAX7HQJX42	20190331	Legacy Bank	4042	Hinton	OK	73047	
320070	549300KL7MLR63WYCF68	20190331	Valley Central Bank	28555	Reading	OH	45215	
320119		20190331	Israel Discount Bank Of New York	19977	New York	NY	10017	
321152		20190331	CITIZENS BANK AND TRUST COMPANY	6100	Atwood	TN	38220	
321255		20190331	FIRST AMERICAN BANK	15762	STONEWALL	OK	74871	
321273		20190331	Newton Federal Bank	29510	Covington	GA	30014	
321330		20190331	Farmers And Merchants State Bank Of Bushnell	11324	Bushnell	IL	61422	
321947		20190331	FCN Bank N.A.	4319	Brookville	IN	47012	
322056	549300Z3IVG2MX9Y3287	20190331	National United	3214	Gatesville	TX	76528	
322449		20190331	COMMUNITY STATE BANK	8067	BROOK	IN	47922	
322476		20190331	WABASH SAVINGS BANK	30618	MT CARMEL	IL	62863	
