"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
189950						CONF	CONF			
190563						CONF	CONF			
190648						CONF	CONF			
190947						CONF	CONF			
190956						CONF	CONF			
191355	0	0	0	0	0	CONF	CONF	0	0	
191935						CONF	CONF			
192147	12070	2592	13048	0	0	CONF	CONF	0	0	
192558	33520	1812	32608	0	0	CONF	CONF	0	1043	
192651						CONF	CONF			
192857						CONF	CONF			
193162						CONF	CONF			
193247	116334	24156				CONF	CONF			
193537						CONF	CONF			
193649	0	0	0	0	0	CONF	CONF	0	0	
193809	65020	5942	59068	0	0	CONF	CONF	0	1637	
194440						CONF	CONF			
194570						CONF	CONF			
194936						CONF	CONF			
195111	19743	2295				CONF	CONF			
195157						CONF	CONF			
195456						CONF	CONF			
196752	0	0	0	0	0	CONF	CONF	0	0	
196800	0	8746	0	0	0	CONF	CONF	0	-67	
197142						CONF	CONF			
197254	0	0	0	0	0	CONF	CONF	0	0	
197302						CONF	CONF			
197478	31652	4148	31940	0	0	CONF	CONF	4	454	
197759						CONF	CONF			
198046						CONF	CONF			
198073						CONF	CONF			
198149	30469	6182				CONF	CONF			
198251	26390	0				CONF	CONF			
198961						CONF	CONF			
199137						CONF	CONF			
199351						CONF	CONF			
199436						CONF	CONF			
199463						CONF	CONF			
200042						CONF	CONF			
200378	0	1849	0	0	0	CONF	CONF	2018	482	
200435						CONF	CONF			
201254						CONF	CONF			
201834	41479	3178	37952	0	0	CONF	CONF	0	656	
202514						CONF	CONF			
202541						CONF	CONF			
202907	21810	8151	29961	0	0	CONF	CONF	0	3907	
203043	58402	5016	0	235	0	CONF	CONF	0	1246	
203052	0	0	0	0	0	CONF	CONF	0	0	
203575						CONF	CONF			
204004	0	0	0	0	0	CONF	CONF	0	0	
204077						CONF	CONF			
204237						CONF	CONF			
204826						CONF	CONF			
205243						CONF	CONF			
205346						CONF	CONF			
205458						CONF	CONF			
205542						CONF	CONF			
206156						CONF	CONF			
206174						CONF	CONF			
206473						CONF	CONF			
206772						CONF	CONF			
206950						CONF	CONF			
207041						CONF	CONF			
207050	572613	88133				CONF	CONF			
207452						CONF	CONF			
207470						CONF	CONF			
207555						CONF	CONF			
207845	40556	4586				CONF	CONF			
207872						CONF	CONF			
207957						CONF	CONF			
208057	0	0	30346	0	0	CONF	CONF	0	883	
208244	479955	85091	442539	0	0	CONF	CONF	0	13796	
208347	0	0	0	0	0	CONF	CONF	0	0	
208440						CONF	CONF			
208459						CONF	CONF			
208570						CONF	CONF			
208655						CONF	CONF			
208972						CONF	CONF			
209148						CONF	CONF			
209362	34995	0				CONF	CONF			
209447						CONF	CONF			
209559						CONF	CONF			
209858						CONF	CONF			
210238						CONF	CONF			
210256						CONF	CONF			
210434						CONF	CONF			
210779						CONF	CONF			
211114	0	0	0	0	0	CONF	CONF	0	0	
211271	1555525	526403	1595851	0	2137	CONF	CONF	2130	60030	
211338						CONF	CONF			
211851						CONF	CONF			
212018						CONF	CONF			
212335						CONF	CONF			
212344						CONF	CONF			
212465	535392	184840	490785	0	36985	CONF	CONF	1418	10060	
212522	0	0	104466	0	0	CONF	CONF	0	1865	
212577	81841	118697	95961	47534	0	CONF	CONF	455	2303	
213471						CONF	CONF			
213538						CONF	CONF			
213912	0	0	0	0	0	CONF	CONF	0	0	
213958	0	0	0	0	0	CONF	CONF	0	0	
214106						CONF	CONF			
214414	58016	2819	54094	0	0	CONF	CONF	0	1708	
214722	50103	1222	34157	0	313	CONF	CONF	0	1348	
214807	0	0	0	0	0	CONF	CONF	0	0	
214843						CONF	CONF			
215345						CONF	CONF			
215354						CONF	CONF			
215653						CONF	CONF			
215662	57385	18903	60944	0	756	CONF	CONF	60	0	
215710						CONF	CONF			
216164						CONF	CONF			
216230						CONF	CONF			
216922	120569	32710	123309	0	0	CONF	CONF	0	4865	
