"IDRSSD"	RCFD0071	RCFD0081	RCFD1754	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1754	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
12142																																							2531	6878	310	69944	0	0	4959	0	9010	222820	192630	3637	201267	0	1675	5000	0	21553	1250	222820	0	0	9932	0	0	14650	0	60638	131992			0	124763	123088	-4279	6100	0	0	0	21553	0	
12179																																							6025	331	12	668	0	0	1148	0	2955	42810	34388	588	34976	0	131	0	0	7834	0	42810	0	0	7840	0	0	0	0	7439	26949			0	31802	31671	-6	0	0	0	0	7834		
12311	478252	775989	8465283	13721257	0	2498425	824508	26794	4697615	105799237	1463212	94590343	383572	757436	5953654	1113049	10825322	39999	105799237	191062	217605	1753234	760971	780000	9023444	792180		0	73314275	72556839	-771355	0	128966	11208894	10062														84513857																	22734565	61779292							0		1200000				
12647																																							11794	3523	29450	0	0	974	4335	386	1239	159024	139700	306	140006	0	1076	0	0	19018	250	159024	0	0	1712	0	0	17056	287	40151	99549			0	100011	98935	0	8101	0	0	0	19018		
12656																																							2729	560	745	0	0	0	167	53	153	16814	14902	34	14936	0	221	0	0	1878	72	16814	0	0	1418	0	0	388	0	4059	10843			0	9906	9685	0	2722	0	0	0	1878		
12937																																							43034	1912	0	0	0	0	10828	0	1003	197960	160624	2303	162927	0	2136	0	0	35033	750	197960	0	0	29033	0	0	5250	58	34925	125699			0	143261	141125	0	0	0	0	0	35033	0	
12946																																							17731	22546	0	218679	32	17688	21465	727	33703	1464580	1276730	14780	1312655	0	18981	21145	0	151924	1	1464579	0	0	97489	12452	0	59755	2210	178246	1098484			0	1133062	1114081	-5321	0	0	0	0	151924	3266	
13103																																							30218	23504	0	345672	0	13785	21548	0	33842	2181028	1754119	36654	1897988	9065	15526	107215	0	273975	500	2181028	0	0	223440	0	0	34019	3464	284681	1469438			0	1724521	1708995	16016	0	0	0	0	283040		
13251																																							11271	2458	0	2470	0	0	130	159	1206	46914	41448	213	41661	0	520	0	0	5253	25	46914	0	0	3271	0	0	1975	0	7656	33792			0	29389	28869	-18	351	0	0	0	5253		
13457																																							4369	387	0	6052	0	0	7	0	1664	23447	16638	146	17269	0	214	0	0	6178	50	23447	0	0	329	0	0	5852	0	4341	12297			0	11182	10968	-53	0	0	485	0	6178		
14052																																							8900	603	0	6730	0	152	1296	158	2010	59858	53213	53	53266	0	513	0	0	6592	1000	59858	0	0	4014	0	0	1688	182	15559	37654			0	38873	38360	-110	1467	0	0	0	6592		
14155																																							1510	4549	0	12252	0	0	7054	217	8401	219969	180108	1363	198134	0	2793	5000	0	21835	176	219969	0	0	21701	0	0	160	254	22295	157813			0	188525	185732	-202	0	0	11663	0	21835		
