"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
118174																							
118660																							
118736																							
119153																							
119274																							
119528																							
119779	17315	0	0	0	15660	0	4221	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	
120542																							
120609																							
120953																							
121642	59045	0	0	0	42344	0	26415	0	0	0	0	0	0	0	0	0	0	0	0	0	771	0	
121651																							
121914																							
122153																							
122546																							
122751																							
122854	0	0	29076	0	29810	0	2027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
123440																							
123646																							
124344																							
124353																							
124830																							
125154																							
125855	14708	0	0	0	12287	0	3841	0	0	0	0	0	0	0	0	0	0	0	0	0	434	0	
125958																							
126012																							
126049																							
126254	30108	0	0	0	28148	0	10289	0	0	0	0	0	0	0	0	0	0	0	0	0	939	0	
126553	20369	0	0	0	18772	0	6052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
126740	12129	0	0	0	9345	0	4372	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	
126834																							
127055																							
127224																							
127701																							
128258																							
128511																							
128904	57059	0	0	0	47839	0	21338	0	0	0	0	0	0	0	0	0	204	0	0	0	511	0	
129349																							
129358																							
129479																							
129732	5789	0	0	0	4198	0	2550	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	
129853																							
129910																							
130345																							
130541	74038	0	0	0	66082	0	12300	0	0	0	0	0	0	0	0	0	0	0	0	0	1973	0	
130813																							
131034																							
131155																							
131173	14760	0	0	0	14945	0	1989	0	0	0	0	0	0	0	0	0	0	0	0	0	370	0	
131418	10358	0	0	0	10250	0	1022	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0	
131436																							
131650	52393	0	0	0	39177	0	22660	0	0	0	0	0	0	0	0	0	0	0	0	0	486	0	
131717																							
131940																							
132107																							
132152																							
132219																							
132451																							
132554																							
132853																							
132938																							
133850	7505	0	0	0	7265	0	2101	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	
133971																							
134156																							
134437																							
134455																							
134848																							
135836																							
135854																							
136048																							
136338																							
136459																							
136655																							
137205																							
137447																							
137456																							
137559																							
137643																							
137652	73217	0	8417	0	71015	0	27173	0	0	0	0	0	0	0	0	0	1	0	0	0	2277	0	
137821																							
137915	14592	0	0	0	14963	0	1579	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	
138051																							
138257																							
138556																							
138725																							
138752																							
139133																							
139432																							
139478																							
139553																							
139656																							
139740	18931	0	0	0	15631	0	3416	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	
139834																							
139843	15173	0	0	0	11965	0	5173	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	
139955																							
140018	12243	0	0	0	12921	0	1260	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	
140157																							
140362																							
140634																							
141211																							
141341																							
141350																							
141453																							
141556	7266	0	0	0	6161	0	2701	0	0	0	0	0	0	0	0	0	0	0	0	0	318	0	
141958																							
142049																							
142571																							
142656																							
142955	55491	2	569837	137	546848	153	273447	859	0	0	0	0	0	0	0	0	77	0	0	0	5248	0	
143662	228853	4	0	0	194974	4	94295	0	0	0	0	0	0	0	0	0	499	0	0	0	7084	0	
143859																							
143952																							
144034																							
144052																							
144155																							
144436																							
144856																							
144913																							
145059																							
145545																							
145554																							
145741																							
145750																							
145844																							
145956																							
146056																							
146618																							
146654																							
146663	7618	0	0	0	7576	0	1808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
146850																							
147053																							
147633																							
147651																							
147679																							
147857																							
147923																							
148144																							
148238																							
148340																							
148715																							
148809																							
148920																							
149150																							
149253																							
149271																							
