"IDRSSD"	RCFDF236	RCFDF237	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFDK652	RCFDK653	RCFDK654	RCFDK655	RCFDK656	RCFDK657	RCFDK658	RCFDK659	RCFDK660	RCFDK661	RCFDK663	RCFDK664	RCFDK665	RCFDK666	RCFDK667	RCFDK668	RCFDK669	RCFDK670	RCFDK671	RCFDK672	RCFDK673	RCFDK674	RCFNF234	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	RCONK652	RCONK653	RCONK654	RCONK655	RCONK656	RCONK657	RCONK658	RCONK659	RCONK660	RCONK661	RCONK663	RCONK664	RCONK665	RCONK666	RCONK667	RCONK668	RCONK669	RCONK670	RCONK671	RCONK672	RCONK673	RCONK674	RCONK675	RCONK676	RCONK677	RCONK678	RCONK679	RCONK680	RCONK681	RCONK682	TEXTA545	
228055																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	1310	216	0	0	26605	2603	9884	14	37799	0	0	0	0	0	0	0	0	0	0	602	2	40844	1	3286	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
228158																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	12071	361	253	1	150581	15070	60969	90	223874	0	0	0	0	0	0	0	0	0	0	7657	17	265167	1	23639	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
228345																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	24446	654	1074	4	94852	7055	8730	19	129102	0	0	0	0	0	0	0	0	0	0	1137	2	150355	1	21152	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
229342																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5019	333	269	1	76832	5502	35110	59	117230	0	0	0	0	0	0	0	0	0	0	5152	5	146123	1	14032	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
229454																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5048	169	344	1	63191	5249	12589	26	82801	1629	0	0	0	0	0	0	0	0	0	1940	6	90049	1	7800	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
229801																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		3066609	0	639252	45703	53728	157	5593826	539295	3500922	3823	9787728	0	0	0	0	0	0	0	0	100000	17516	1063820	1406	14247772	1	1085887	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF	0	1647	0	0	CONF	CONF	CONF	194085	0	425006	0	0	0	5294		
229913	1830812	1399555	300000	0	0	0	0	0	0	0	3251704	1	1043867	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	1399555	398231	0	0	0	0	0	10709	222	420548	108											0	266533	94											CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
229940																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	4085	200	0	0	38916	5301	1571	4	44572	0	0	0	0	0	0	0	0	0	0	944	2	52100	1	5324	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
229959																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	0	0	0	0	13517	1559	5238	12	18755	0	0	0	0	0	0	0	0	0	0	1983	5	20963	1	2208	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
230254																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	7097	578	0	0	40688	4886	11727	18	59512	0	0	0	0	0	0	0	0	0	0	1898	5	68041	1	9093	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
230357																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	8	3	0	0	36712	2306	2750	9	39470	0	0	0	0	0	0	0	0	0	0	901	3	42865	2	2412	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
230423																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF		33936	0	12547	568	1257	4	120797	13789	33796	68	168398	0	163	0	0	0	0	0	0	0	0	3009	4	218168	1	37896	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
230535																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5211	162	280	1	238138	8023	29503	62	273132	0	0	0	0	0	0	0	0	0	0	10886	15	277372	1	5640	0	false	0	0	false	0	0	CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
230610																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	5923	463	625	2	144923	16839	62831	82	214302	0	0	0	0	0	0	0	0	0	0	4956	11	240611	1	22362	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
230740																					CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF			0	511	24	0	0	50764	1769	14791	33	66066	0	0	0	0	0	0	0	0	0	0	548	1	76396	1	6871	0	false			false			CONF	CONF	CONF	CONF	CONF	CONF					CONF	CONF	CONF									
