"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	
662949																																								33095	5361	0	0	167370	0	5600	117	2826	376890	305496	919	316093	0	2391	0	0	0	60797	800	376890	0	0	55343	0	0	6700	0	83588	221908	4	1231	0	164912	162521	-2046	0	0	0	9678	60797		
663058																																								426	5871	0	24082	101575	0	13541	0	10394	490917	429000	2557	439472	0	3201	4800	247	0	51445	0	490917	240	240	5480	0	0	47125	2131	102860	326140	2a	1231	0	329991	326790	-1160	0	0	1300	6128	51445	1067	
663245																																								669834	130120	59295	349266	1365149	0	248518	23983	390765	12677617	9763880	92181	10904056	0	44865	616410	937986	0	1773561	35	12677617	0	0	299053	0	0	1505193	14042	761785	9002095	2a	1231	0	8855100	8810235	-30720	0	0	6275	103734	1773561		
663450																																								173	2273	0	0	13760	0	892	0	1881	52562	46715	153	46868	0	527	0	0	0	5694	171	52562	0	0	2704	0	0	2884	0	7860	38855	2a	1231	0	33179	32652	-65	931	0	0	0	5694		
663638																																								5130	1006	0	4204	36051	0	246	5	738	83266	75160	108	75268	0	335	0	0	0	7998	1191	83266	0	0	6315	0	0	1509	0	7529	67631	4	1231	0	32826	32491	-1017	3395	0	0	0	7998		
663647																																								2379	6658	1447	1050	49686	0	9490	0	16039	492878	365885	5651	441959	0	6045	0	63423	7000	50919	210	492878	0	0	19389	100	0	32295	363	95570	270315	2a	1231	0	403860	397815	-975	7851	0	0	0	50919		
663656																																								1393	1954	0	0	15605	0	1077	7	2627	68418	51991	43	59158	0	686	213	7124	0	9260	625	68418	0	0	5472	0	0	3590	0	33583	18408	5	1231	0	45983	45297	-427	245	0	0	0	9260		
663834																																								75709	23724	1567	0	398884	0	39318	10738	179917	3753128	3220556	23015	3315638	0	42234	879	72067	0	437490	8500	3753128	0	0	285871	0	0	150519	127	105474	3115082	1a	1231	0	3064499	3022265	-7400	0	0	0	0	437490		
663955																																								11406	831	0	0	26442	0	2644	0	8125	275076	218030	2010	233743	0	850	356	13703	0	41333	486	275076	0	0	30793	0	0	9514	0	14953	203077	1a	1231	0	226122	225272	540	0	0	0	0	41333		
664176																																								45206	3166	0	3304	2019	0	2477	454	11506	303919	188100	3900	243500	0	3115	0	51500	0	60419	10	303919	0	0	55432	0	0	4754	0	0	188100	1a	630	0	238902	235787	223	0	0	0	0	60419		
664206																																								17278	29552	7120	93918	278475	0	61657	0	91629	3272875	2695186	11969	2970031	0	16943	0	243023	0	302844	0	3272875	0	0	307133	0	0	0	10023	116515	2578671	2a	1231	0	2700166	2683223	-4289	0	0	0	19853	302844		
664653																																								3539	444	48	0	6861	0	5092	0	4175	92743	81209	800	83209	0	1043	0	1200	0	9534	4982	92743	0	0	-12897	0	0	17625	0	19998	61211	1a	1231	0	73627	72584	-176	0	0	0	0	9534		
664756																																								39591	204651	37273	9502764	207489	0	255671	10538	379059	22462228	17356456	88280	18604436	0	83600	1896863	820080	0	3857792	520	22462228	44	44	1240024	0	0	2617203	34551	5731624	11624832	1a	1231	0	9976865	9893265	45	469	0	0	339576	3857792		
665146																																								11676	2734	165	0	43091	0	3909	0	11971	279286	218036	957	248656	0	2083	3749	29663	0	30630	1005	279286	0	0	22360	0	0	8388	781	31667	186369	4	1231	0	202117	200034	-1123	1176	0	0	0	30630		
665258																																								354	1561	0	0	21729	0	685	0	2802	61042	51993	138	52298	0	751	0	167	0	8744	150	61042	0	0	8321	0	0	375	0	16383	35610	2a	1231	0	28162	27411	-102	6500	0	0	0	8744		
665865																																								3823	3551	155	1138	150780	1785	9288	0	6288	538039	470564	1090	482080	0	2752	546	10426	0	55959	105	538039	0	0	51609	0	0	7896	0	123311	347253	2b	1231	0	347847	345095	-3651	15590	0	0	0	55959		
666059																																								16254	1805	293	0	0	0	287	76	265	42018	33804	99	33903	0	160	417	0	0	8115	50	42018	0	0	-21	0	0	8086	0	9928	23876	2a	1231	0	22781	22621	0	0	0	0	0	8115		
666358																																								10859	1747	0	0	10215	0	376	121	912	64235	52046	122	57258	0	811	0	284	0	6977	847	64235	0	0	1661	0	0	4603	0	17372	34674	8	1231	0	40816	40005	-134	0	0	0	4806	6977		
666554																																								66585	9974	199	205829	76486	0	5607	0	4757	581983	419348	433	478801	0	4278	3122	0	0	103182	180	581983	0	0	49635	0	0	53717	0	92698	326650	2a	1231	0	213702	209424	-350	0	0	0	59020	103182		
666657																																								8814	35771	18184	257791	316880	0	64500	629	125044	3719646	3035489	14737	3248202	0	23350	67917	158100	0	471444	4000	3719646	0	0	-361765	0	0	838064	1940	976945	2058543	1a	1231	0	2845525	2822175	-8855	0	0	0	39876	471444	1	
666844																																								3685	901	132	0	23429	0	1013	19	1234	119500	99349	171	99520	0	1035	741	0	0	19979	200	119499	0	0	13861	0	0	6262	0	19089	80260	4	1231	0	89381	88346	-344	0	0	0	0	19979		
