"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAKW00	RCFAKW03	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAKW00	RCOAKW03	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
729842																																																																	20974	1545	1545	11.2271%	17.0587%	15.8021%	19429	122952	173054	925	0			9.0587%				16029	173054	3400	15.8021%	1	0	20354	0	0	0	925	0	0	0	0		0	0	19429	0	0	0	0	0	0	19429	0	0	0	0	0	0	0	0	0	1545	0	0	0	0										
729945																																																																	12903	1466	1466	8.0374%	11.0289%	9.7758%	11437	116993	142298	0	0			3.0289%				-523	142298	11960	9.7758%	1	0	11437	0	0	0	0	0	0	0	0		0	0	11437	0	0	0	0	0	0	11437	0	0	0	0	0	0	0	0	0	1466	0	0	0	0										
730745																																																																	4343	146	146	15.1670%	25.9299%	25.0582%	4197	16749	27672	19	0			17.9299%				3647	27672	550	25.0582%	1	0	4216	0	0	0	19	0	0	0	0		0	0	4197	0	0	0	0	0	0	4197	0	0	0	0	0	0	0	0	0	146	0	0	0	0										
731050																																																																	17075	1487	1487	10.7861%	14.2824%	13.0386%	15588	119553	144519	51	0			6.2824%				6436	149617	14250	13.0386%	1	0	20737	5098	0	0	51		0	0	0		0	0	15588	0	0	0	0	0	0	15588	0	0	0	0	0	0	0	0	0	1487	0	5098		0										
731247																																																																	443869	30955	30955	12.5061%	17.9577%	16.7053%	412914	2471751	3301701	1248	0			9.9577%				354300	3304201	61114	16.7053%	1	0	416662	2500	0	0	3257		-2009	0	0		0	0	412914	0	0	0	0	0	0	412914	0	0	0	0	0	0	0	0	0	30955	0	2500		0										
731957																																																																	2562	103	103	9.6956%	24.9464%	23.9435%	2459	10270	25362	-5	0			16.9464%				2303	25362	156	23.9435%	1	0	2454	0	0	0	-5	0	0	0	0		0	0	2459	0	0	0	0	0	0	2459	0	0	0	0	0	0	0	0	0	103	0	0	0	0										
732178																																																																	50233	3136	3136	9.4019%	13.2813%	12.4521%	47097	378224	500932	-70	0			5.2813%				18508	501289	28946	12.4521%	1	0	47384	228	129	0	-70		0	0	0		0	0	47097	0	0	0	0	0	0	47097	0	0	0	0	0	0	0	0	0	3136	0	357		0										
732253																																																																	17070	1030	1030	9.7885%	13.4051%	12.5962%	16040	127340	163865	40	0			5.4051%				8018	168403	12560	12.5962%	1	0	20618	4538	0	0	40	0	0	0	0		0	0	16040	0	0	0	0	0	0	16040	0	0	0	0	0	0	0	0	0	1030	0	4538	0	0										
732637																																																																	11441	644	708	10.3532%	22.2830%	20.9041%	10733	51344	103668	296	0			14.2830%				10547	103668	250	20.9041%	1	0	11093	0	0	0	296	64	0	0	0		0	0	10733	0	0	0	0	0	0	10733	0	0	0	0	0	0	0	0	0	708	0	0	64	0										
732758																																																																	52257	3570	3570	13.5489%	18.3587%	17.1045%	48687	284645	359343	303	0			10.3587%				33097	359975	16325	17.1045%	1	0	49725	0	0	632	303	103	0	0	0		0	0	48687	0	0	0	0	0	0	48687	0	0	0	0	0	0	0	0	0	3570	0	632	0	0										
