"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
653134																																							18482	10236	38030	0	0	7964	580	8537	326552	272989	1151	284140	0	3169	10000	0	42412	2009	326552	0	0	33404	0	0	12193	0	69955	203034	1a		-5432	245642	242473	238	250	0	0	0	42412	0	0	
653433																																							14695	3608	23721	350	0	999	32	8167	134983	114813	2580	117393	0	1332	0	0	17590	240	134983	0	0	14960	0	0	2260	0	26662	88151			0	74897	73565	130	3960	0	0	0	17590		5886	
653611																																							26807	6922	39425	0	219	13149	215	19453	620244	522790	3128	564406	0	5921	35488	3000	55838	4829	620244	0	0	44377	0	0	7023	0	53176	469614			0	519140	513219	-391	0	0	0	0	55838		835	
653648																																							186290	7821	133451	7155	0	23013	2273	46675	855758	645518	9235	733598	0	6093	40000	0	122160	5495	855758	0	0	29973	0	0	87184	1706	130837	514681			0	452615	446522	-492	502	0	0	38845	122160		350	
653778																																							4589	985	75333	0	0	2196	25	11270	221892	176328	2250	186078	0	988	7500	0	35814	0	221892	0	0	34015	0	0	0	0	18358	157970			0	128482	127494	1799	0	0	0	0	35814		0	
653947																																							4644	4896	24780	0	349	2860	296	3515	254368	225551	502	231456	0	2774	550	0	22912	700	254368	0	0	17902	0	0	4217	421	49815	175736			0	215381	212607	93	0	0	0	4853	22912	0	0	
654047																																							3436	1088	16332	0	0	206	30	478	52198	40438	279	41072	0	419	355	0	11126	75	52198	0	0	7916	0	0	2926	0	6925	33513			0	30265	29846	209	0	0	0	0	11126		782	
654252																																							11219	4735	144596	0	2776	5157	154	10765	396825	338202	1463	354196	0	4489	14531	0	42629	765	396825	0	0	21809	0	0	19257	0	68355	269847			0	221912	217423	798	0	0	0	0	42629		0	
654300																																							18044	988	20833	0	111	2499	0	10114	256419	201860	1679	234502	0	1599	30963	0	21917	0	256419	0	0	22566	0	0	0	0	24875	176985			0	205429	203830	-649	0	0	0	0	21917	0	0	
654579																																							3369	54	994	0	0	153	224	547	27115	14339	307	14646	0	124	0	0	12469	0	27115	0	0	12504	0	0	0	0	0	14339			0	21898	21774	-35	0	0	0	0	12469		0	
655530																																							2134	515	2247	0	0	109	0	681	14843	12885	66	12951	0	69	0	0	1892	75	14843	0	0	819	0	0	1000	0	2616	10269			0	8669	8600	-2	203	0	0	0	1892		354	
655660																																							9288	7636	6742	910	650	12555	0	2982	391312	356554	561	357115	0	557	0	0	34197	25	391312	0	0	18739	0	0	15458	0	72490	284063			0	162575	162018	-25	0	0	0	0	34197		188531	
655839																																							45435	12413	33278	0	0	7131	3624	5632	514119	430882	3135	458017	0	4202	24000	0	56102	49	514119	0	0	35583	0	0	20084	0	116491	314391			0	410808	406606	386	0	0	0	0	56102	0	0	
656032																																							3583	3973	80194	0	184	2713	187	3086	196767	169222	701	172776	0	1441	0	0	23991	150	196767	0	0	17831	0	0	5060	0	37247	131975			0	102451	101010	950	208	0	0	2853	23991	0	1629	
656247																																							4029	1524	6933	0	0	17	17	1689	45997	36480	736	37474	0	272	258	0	8523	45	45997	0	0	7243	0	0	1205	0	10721	25759			0	27480	27208	30	2643	0	0	0	8523		1937	
656377																																							168702	121126	1507938	0	309756	275640	7003	591318	16466479	11890782	83044	14478826	0	134022	2505000	0	1987653	0	16466479	0	0	1175848	0	0	799668	0	1546368	10344415			0	12110842	11976820	12137	0	0	0	0	1987653		1508176	
656470																																							70706	14232	264583	0	5667	22613	2852	39432	1213523	1028081	13360	1051612	0	9312	2250	0	161911	255	1213523	0	0	155888	0	0	4426	1979	282519	745562			0	797375	788063	1342	3396	0	0	7921	161911		0	
656658																																							11215	1667	36810	0	0	1291	0	1560	104494	93631	257	93888	0	707	0	0	10606	700	104494	0	0	7114	0	0	2905	0	32179	61452			0	34675	33968	-113	7737	0	0	0	10606		10246	
